filename,brand,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status
Asona Deep Dive - TR-013-V3-Asona-Triton-Hip-Junction-Details-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - TR-014-V3-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - TR-015-V3-Asona-Triton-Raking-Ceiling-Long-Section-Details-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - TR-016-V3-Asona-Triton-Insulated-Roof-Lining-v12.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - TS-001-V3-DHS-Purlin-CLW-05-Clip-Fixing.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - TS-002-V3-DHS-Purlin-Strap-Fixing.pdf,Asona,Technical_Manual,acoustic_ceiling,4,0,Text Only
Asona Deep Dive - TS-003-V3-Triton-Sports-40-Sports-Panel-Ridge-Detail.pdf,Asona,Technical_Manual,acoustic_ceiling,4,0,Text Only
Asona Deep Dive - TS-005-V4-Triton-Sports-40-1200mm-x-600mm-with-CLW-95-Hold-Down-Clips-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - TS-011-V4.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - rondo-nz-datasheet-donn-v2.pdf,Asona,Technical_Manual,ceiling_grid,8,0,Text Only
Asona Deep Dive - rondo-nz-datasheet-key-lock.pdf,Asona,Technical_Manual,ceiling_grid,2,0,Text Only
Asona Deep Dive - tr-003_asona_triton_30mm_services_cavity_11.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - tr-006_asona_triton_floating_island_with_exposed_grid_11.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - tr-009_asona_triton_flush_ceiling_join_details_9.pdf,Asona,Technical_Manual,acoustic_ceiling,4,0,Text Only
Asona Deep Dive - tr-010_asona_triton_raking_ceiling_-_long_section_detail_10.pdf,Asona,Technical_Manual,acoustic_ceiling,4,0,Text Only
Asona Deep Dive - tr-015_asona_raking_ceiling_detail_9.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Autex Deep Dive - 3D Ceiling Tiles Data Sheet.pdf,Autex,Technical_Data_Sheet,acoustic_ceiling,50,0,Text Only
Autex Deep Dive - 3D Ceiling Tiles Install Instructions.pdf,Autex,Installation_Guide,acoustic_ceiling,28,0,Text Only
Autex Deep Dive - 3D Ceiling Tiles Lookbook.pdf,Autex,Technical_Manual,acoustic_ceiling,46,0,Text Only
Autex Deep Dive - 3D Ceiling Tiles Manufacturers Warranty.pdf,Autex,Warranty,acoustic_general,15,0,Text Only
Autex Deep Dive - 3D Tiles Datasheet.pdf,Autex,Technical_Data_Sheet,acoustic_wall,42,0,Text Only
Autex Deep Dive - 3D Tiles Lookbook.pdf,Autex,Technical_Manual,acoustic_wall,37,0,Text Only
Autex Deep Dive - 3D Tiles Manufacturers Warranty.pdf,Autex,Warranty,acoustic_general,15,0,Text Only
Autex Deep Dive - Accent Ceiling Tile Lookbook.pdf,Autex,Technical_Manual,acoustic_ceiling,12,0,Text Only
Autex Deep Dive - Accent Ceiling Tiles Datasheet.pdf,Autex,Technical_Data_Sheet,acoustic_ceiling,34,0,Text Only
Autex Deep Dive - Accent Ceiling Tiles Install Instructions.pdf,Autex,Installation_Guide,acoustic_ceiling,24,0,Text Only
Autex Deep Dive - Accent Ceiling Tiles Manufacturers Guarantee.pdf,Autex,Technical_Manual,acoustic_ceiling,8,0,Text Only
Autex Deep Dive - Acoustic Timber Ceiling Tiles Data Sheet NZ.pdf,Autex,Technical_Data_Sheet,acoustic_timber,31,0,Text Only
Autex Deep Dive - Acoustic Timber Ceiling Tiles Install Instructions.pdf,Autex,Installation_Guide,acoustic_timber,18,0,Text Only
