filename,brand,category,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status,agent_zone
Earthwool Deep Dive - Earthwool glasswool Product Flyer.pdf,Earthwool,Earthwool Deep Dive,Product_Guide,general_insulation,7,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool R1.3 Wall and Ceiling Installation Instructions.pdf,Earthwool,Earthwool Deep Dive,Installation_Guide,wall_insulation,12,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool Underfloor Roll Datasheet.pdf,Earthwool,Earthwool Deep Dive,Technical_Data_Sheet,underfloor_insulation,11,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool Underfloor Roll Installation Instructions.pdf,Earthwool,Earthwool Deep Dive,Installation_Guide,underfloor_insulation,10,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool Wall Installation Instructions.pdf,Earthwool,Earthwool Deep Dive,Installation_Guide,wall_insulation,11,0,Text Only,Product Rep
Earthwool Deep Dive - Knauf Insulation Internal Partition Datasheet.pdf,Earthwool,Earthwool Deep Dive,Technical_Data_Sheet,wall_insulation,11,0,Text Only,Product Rep
Ecko Master Library (PlaceMakers),Ecko,Other,Product_Catalog,screws,184,0,Text Only,Product Rep
Expol Deep Dive - 256_2020_A1.pdf,Expol,Expol Deep Dive,Technical_Manual,underfloor_insulation,15,0,Text Only,Product Rep
Expol Deep Dive - Building-Product-Information-Sheet-EXPOL-EPS-Sheet-aug-27-2024.pdf,Expol,Expol Deep Dive,Technical_Manual,slab_insulation,8,0,Text Only,Product Rep
Expol Deep Dive - Building-Product-Information-Sheet-EXPOL-Emperor-Panel-April-2023.pdf,Expol,Expol Deep Dive,Technical_Manual,board_insulation,10,0,Text Only,Product Rep
Expol Deep Dive - Building-Product-Information-Sheet-EXPOL-GeoFoam-April-2023.pdf,Expol,Expol Deep Dive,Technical_Manual,structural_fill,12,0,Text Only,Product Rep
Expol Deep Dive - Building-Product-Information-Sheet-EXPOL-SLABX200-aug-2024.pdf,Expol,Expol Deep Dive,Technical_Manual,slab_insulation,8,0,Text Only,Product Rep
Expol Deep Dive - Building-Product-Information-Sheet-EXPOL-ThermaSlab-Edge-July-2023.pdf,Expol,Expol Deep Dive,Technical_Manual,slab_insulation,8,0,Text Only,Product Rep
Expol Deep Dive - Building-Product-Information-Sheet-EXPOL-Tuff-Pods-April-2023.pdf,Expol,Expol Deep Dive,Technical_Manual,structural_fill,8,0,Text Only,Product Rep
Expol Deep Dive - Building-Product-Information-Sheet-EXPOL-XPS-Sheet-July-2023.pdf,Expol,Expol Deep Dive,Technical_Manual,board_insulation,8,0,Text Only,Product Rep
Expol Deep Dive - EXPOL-FastLine-A4-dbl-side-NOV2024.pdf,Expol,Expol Deep Dive,Technical_Manual,board_insulation,5,0,Text Only,Product Rep
Expol Deep Dive - EXPOL-Garage-Door-Insulation-Brochure-2022.pdf,Expol,Expol Deep Dive,Product_Guide,expol_general,9,0,Text Only,Product Rep
Expol Deep Dive - EXPOL-GeoFoam-Technical-Guide-2022.pdf,Expol,Expol Deep Dive,Technical_Manual,structural_fill,36,0,Text Only,Product Rep
Expol Deep Dive - EXPOL-MAXEdge-Brochure.pdf,Expol,Expol Deep Dive,Product_Guide,expol_general,9,0,Text Only,Product Rep
Expol Deep Dive - EXPOL-SLABX200-A4-dbl-side-web-OCT-2024.pdf,Expol,Expol Deep Dive,Technical_Manual,slab_insulation,7,0,Text Only,Product Rep
Expol Deep Dive - EXPOL-Tech-Guide-2025-webv1.pdf,Expol,Expol Deep Dive,Technical_Manual,expol_general,184,0,Text Only,Product Rep
Expol Deep Dive - EXPOL-Technical-Guide-2023-POD-Floor-Systems-Section.pdf,Expol,Expol Deep Dive,Technical_Manual,structural_fill,2,0,Text Only,Product Rep
Expol Deep Dive - EXPOL-Technical-Guide-2023-UnderFloor-Section.pdf,Expol,Expol Deep Dive,Technical_Manual,underfloor_insulation,8,0,Text Only,Product Rep
Expol Deep Dive - EXPOL-ThermaSlab-Edge-Brochure-August2023.pdf,Expol,Expol Deep Dive,Product_Guide,expol_general,4,0,Text Only,Product Rep
Expol Deep Dive - Technical Data Sheet - EXPOL GeoFoam Family (EPS) (August 2025).pdf,Expol,Expol Deep Dive,Technical_Data_Sheet,structural_fill,9,0,Text Only,Product Rep
Expol Deep Dive - Technical Data Sheet - EXPOL SLABX200 (EPS) (September 2022).pdf,Expol,Expol Deep Dive,Technical_Data_Sheet,slab_insulation,5,0,Text Only,Product Rep
Expol Deep Dive - Technical Data Sheet - EXPOL StyroDrain (EPS) (September 2022).pdf,Expol,Expol Deep Dive,Technical_Data_Sheet,drainage,6,0,Text Only,Product Rep
Expol Deep Dive - Technical Data Sheet - EXPOL ThermaSlab Edge (XPS) (July 2023).pdf,Expol,Expol Deep Dive,Technical_Data_Sheet,slab_insulation,5,0,Text Only,Product Rep
Expol Deep Dive - Technical Data Sheet - EXPOL ThermaSlab Family (EPS) (August 2025).pdf,Expol,Expol Deep Dive,Technical_Data_Sheet,slab_insulation,7,0,Text Only,Product Rep
Expol Deep Dive - Technical Data Sheet - EXPOL UnderFloor Insulation Family (August 2025).pdf,Expol,Expol Deep Dive,Technical_Data_Sheet,underfloor_insulation,7,0,Text Only,Product Rep
Expol Deep Dive - Technical-Data-Sheet-EXPOL-Platinum-Board-EPS-December-2024.pdf,Expol,Expol Deep Dive,Technical_Manual,board_insulation,5,0,Text Only,Product Rep
Expol Deep Dive - Technical-Data-Sheet-EXPOL-X-XPS-July-2023.pdf,Expol,Expol Deep Dive,Technical_Manual,board_insulation,6,0,Text Only,Product Rep
F4-AS1_Amendment-6-2021,NZ Building Code,NZ Building Code,Compliance_Document,acceptable_solution,28,0,Text Only,Inspector
F6-AS1_Amendment-3-2021,NZ Building Code,NZ Building Code,Compliance_Document,acceptable_solution,34,0,Text Only,Inspector
F7-AS1_5th-Edition-2023,NZ Building Code,NZ Building Code,Compliance_Document,acceptable_solution,21,0,Text Only,Inspector
Fasteners Full Suite,Fasteners,Fasteners Full Suite,Technical_Data_Sheet,fasteners,1162,0,Text Only,Product Rep
Final Sweep - Bremick,Bremick,Final Sweep (Fasteners),Product_Catalog,fasteners,732,0,Text Only,Product Rep
Final Sweep - Buildex,Buildex,Final Sweep (Fasteners),Product_Catalog,fasteners,275,0,Text Only,Product Rep
Final Sweep - Delfast,Delfast,Final Sweep (Fasteners),Product_Catalog,fasteners,94,0,Text Only,Product Rep
Final Sweep - Ecko,Ecko,Final Sweep (Fasteners),Product_Catalog,decking,5,0,Text Only,Product Rep
Final Sweep - MacSim,MacSim,Final Sweep (Fasteners),Product_Catalog,fasteners,3938,0,Text Only,Product Rep
Final Sweep - Mainland_Fasteners,Mainland Fasteners,Final Sweep (Fasteners),Product_Catalog,fasteners,106,0,Text Only,Product Rep
Final Sweep - MiTek,MiTek,Final Sweep (Fasteners),Product_Catalog,fasteners,41,0,Text Only,Product Rep
Final Sweep - NZSIP,NZSIP,Final Sweep (Fasteners),Product_Catalog,fasteners,109,0,Text Only,Inspector
Final Sweep - NZ_Nails,NZ Nails,Final Sweep (Fasteners),Product_Catalog,fasteners,5,0,Text Only,Product Rep
Final Sweep - Paslode,Paslode,Final Sweep (Fasteners),Product_Catalog,fasteners,121,0,Text Only,Product Rep
Final Sweep - PlaceMakers,PlaceMakers,Final Sweep (Fasteners),Product_Catalog,fasteners,172,0,Text Only,Product Rep
Final Sweep - Pryda,Pryda,Final Sweep (Fasteners),Product_Catalog,nailplates,533,0,Text Only,Product Rep
Final Sweep - Ramset,Ramset,Final Sweep (Fasteners),Product_Catalog,fasteners,26,0,Text Only,Product Rep
Final Sweep - SPAX,SPAX,Final Sweep (Fasteners),Product_Catalog,screws,226,0,Text Only,Product Rep
Final Sweep - Simpson_Strong_Tie,Simpson Strong Tie,Final Sweep (Fasteners),Product_Catalog,anchoring,591,0,Text Only,Product Rep
Final Sweep - Titan,Titan,Final Sweep (Fasteners),Technical_Data_Sheet,fasteners,14,0,Text Only,Product Rep
Final Sweep - Zenith,Zenith,Final Sweep (Fasteners),Product_Catalog,roofing,2735,0,Text Only,Product Rep
Firth Deep Dive (Universal),Firth,Firth Deep Dive,Technical_Manual,general,341,0,Text Only,Product Rep
G12-AS1_3rd-Edition-Amd14-2024,NZ Building Code,NZ Building Code,Compliance_Document,acceptable_solution,192,0,Text Only,Inspector
G13-AS1_3rd-Edition-Amd14-2024,NZ Building Code,NZ Building Code,Compliance_Document,acceptable_solution,96,0,Text Only,Inspector
GIB Full Suite,GIB,GIB Full Suite,Installation_Guide,interior_linings,679,0,Text Only,Product Rep
GIB Site Guide 2024,GIB,Other,Installation_Guide,interior_linings,424,0,Text Only,Product Rep
GIB-Bracing-Supplement-2016,NZ Building Code,Other,Compliance_Document,technical_manual,48,0,Text Only,Inspector
GIB-EzyBrace-Systems-2016,NZ Building Code,Other,Compliance_Document,technical_manual,91,0,Text Only,Inspector
GIB-Fire-Systems-Manual,NZ Building Code,Other,Compliance_Document,technical_manual,409,0,Text Only,Inspector
