agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,A_Structure,Abodo Wood,Resene-Paint-Complementary-Colour-Suggestions.pdf,0.99,Ingested,9,0,Abodo Wood - Resene-Paint-Complementary-Colour-Suggestions,A_Structure/Abodo_Wood/Color_Finishes_Textures/Resene-Paint-Complementary-Colour-Suggestions.pdf
Product Rep,A_Structure,Abodo Wood,Rhombus-Batten-Clip-RHBC2-with-clip-90x26-Abodo-Wood.pdf,0.04,Ingested,1,0,Abodo Wood - Rhombus-Batten-Clip-RHBC2-with-clip-90x26-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/Rhombus-Batten-Clip-RHBC2-with-clip-90x26-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Rhombus-Clip-RHBC2-with-clip-68x26-Abodo-Wood.pdf,0.04,Ingested,1,0,Abodo Wood - Rhombus-Clip-RHBC2-with-clip-68x26-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/Rhombus-Clip-RHBC2-with-clip-68x26-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,TDS-69-Vulcan-Shingles-Roof-Dec-23.pdf,1.13,Ingested,21,0,Abodo Wood - TDS-69-Vulcan-Shingles-Roof-Dec-23,A_Structure/Abodo_Wood/Technical_Data_Sheets/TDS-69-Vulcan-Shingles-Roof-Dec-23.pdf
Product Rep,A_Structure,Abodo Wood,TDS-70-Vulcan-Shingles-Wall-Dec-23.pdf,0.96,Ingested,20,0,Abodo Wood - TDS-70-Vulcan-Shingles-Wall-Dec-23,A_Structure/Abodo_Wood/Technical_Data_Sheets/TDS-70-Vulcan-Shingles-Wall-Dec-23.pdf
Product Rep,A_Structure,Abodo Wood,TG17-84x17-Profile-Drawing-Abodo-Wood.pdf,0.06,Ingested,1,0,Abodo Wood - TG17-84x17-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/TG17-84x17-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,TG9-135x10-Profile-Drawing-Abodo-Wood-Jan-18.pdf,0.41,Ingested,1,0,Abodo Wood - TG9-135x10-Profile-Drawing-Abodo-Wood-Jan-18,A_Structure/Abodo_Wood/Profile_Drawings/TG9-135x10-Profile-Drawing-Abodo-Wood-Jan-18.pdf
Product Rep,A_Structure,Abodo Wood,TG9-175x10-Profile-Drawing-Abodo-Wood-Jan-18.pdf,0.41,Ingested,1,0,Abodo Wood - TG9-175x10-Profile-Drawing-Abodo-Wood-Jan-18,A_Structure/Abodo_Wood/Profile_Drawings/TG9-175x10-Profile-Drawing-Abodo-Wood-Jan-18.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-30-Sand-Decking-Abodo-Wood-Sept-22.pdf,0.29,Ingested,7,0,Abodo Wood - Technical-Data-Sheet-30-Sand-Decking-Abodo-Wood-Sept-22,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-30-Sand-Decking-Abodo-Wood-Sept-22.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-47-Protector-Abodo-Wood.pdf,0.39,Ingested,8,0,Abodo Wood - Technical-Data-Sheet-47-Protector-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-47-Protector-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-66-Vulcan-Nexus-Cladding-Abodo-Wood.pdf,1.14,Ingested,14,0,Abodo Wood - Technical-Data-Sheet-66-Vulcan-Nexus-Cladding-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-66-Vulcan-Nexus-Cladding-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-68-Protector-Hybrid-Abodo-Wood-May-23.pdf,0.57,Ingested,9,0,Abodo Wood - Technical-Data-Sheet-68-Protector-Hybrid-Abodo-Wood-May-23,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-68-Protector-Hybrid-Abodo-Wood-May-23.pdf
