brand,product,sector,status
Kingspan,kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,roofing,MISSING
Kingspan,kingspan-k-roc-rockspan-wall-horizontal-technical-drawing-standard-en-nz.pdf,general,MISSING
Kingspan,kingspan-k-roc-rockspan-wall-panel-data-sheet-en-nz.pdf,general,BPIR_ONLY
Kingspan,kingspan-k-roc-rockspan-wall-vertical-technical-drawing-standard-en-nz.pdf,general,MISSING
Kingspan,kingspan-k-roc-firemaster-wall-panel-data-sheet-en-nz.pdf,general,BPIR_ONLY
Kingspan,kingspan-k-roc-firemaster-wall-vertical-technical-drawing-standard-en-nz.pdf,general,MISSING
Kingspan,Kingspan KS1000 RW CodeMark Roof Details Ver. Q4 2023 -Technical Drawings.pdf,roofing,MISSING
Kingspan,Kingspan KS1000 RW CodeMark Roof High Humidity Details Ver. Q4 2023 -Technical Drawings.pdf,roofing,MISSING
Kingspan,kingspan-ks1000rw-codemark-certificate-en-nz.pdf,general,CERTIFIED
Kingspan,kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf,roofing,CERTIFIED
Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,general,MISSING
Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-vertical-en-nz.pdf,general,MISSING
Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-horizontal-en-nz.pdf,general,MISSING
Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-vertical-en-nz.pdf,general,MISSING
Kingspan,kingspan-ks1000rw-wall-panel-environmental-product-declaration-en-nz-au.pdf,general,CERTIFIED
Kingspan,kingspan-ks1000rw-roof-panel-environmental-product-declaration-en-nz-au.pdf,roofing,CERTIFIED
Kingspan,kingspan-ks1000rw-trapezoidal-roof-panel-installation-guide-en-nz.pdf,roofing,MISSING
Kingspan,kingspan-ks1000rw-trapezoidal-roof-panel-technical-drawing-standard-en-nz.pdf,roofing,MISSING
Kingspan,kingspan-ks1100cs-coldstore-panel-data-sheet-en-nz.pdf,general,MISSING
Kingspan,kingspan-ks1100cs-coldstore-panel-environmental-product-declaration-en-nz-au.pdf,general,MISSING
Kingspan,kingspan-ks1100cs-coldstore-panel-technical-drawing-standard-en-nz.pdf,general,MISSING
Kingspan,kingspan-evolution-panelised-facade-environmental-product-declaration-en-nz-au.pdf,general,CERTIFIED
Kingspan,kingspan-ksn1000fc-five-crown-horizontal-wall-technical-drawing-standard-en-nz.pdf,roofing,MISSING
Kingspan,kingspan-ksn1000fc-five-crown-roof-technical-drawing-standard-en-nz.pdf,roofing,MISSING
Kingspan,kingspan-ksn1000fc-five-crown-vertical-wall-technical-drawing-standard-en-nz.pdf,roofing,MISSING
Metalcraft Roofing,Metalcraft - Eco Choice Certificate.pdf,roofing,MISSING
Metalcraft Roofing,Metalcraft - Masterspec Specification Links.pdf,roofing,MISSING
Metalcraft Roofing,Metalcraft - NZMRM Installation Guide.pdf,roofing,MISSING
Metalcraft Roofing,Bevelback_Weatherboard - Bevelback Data Sheet.pdf,roofing,MISSING
Metalcraft Roofing,Bevelback_Weatherboard - BPIS Building Product Information Sheet.pdf,roofing,BPIR_ONLY
Metalcraft Roofing,Bevelback_Weatherboard - Commercial Horizontal Details.pdf,roofing,MISSING
Metalcraft Roofing,Bevelback_Weatherboard - Product Flyer.pdf,roofing,MISSING
Metalcraft Roofing,Bevelback_Weatherboard - Residential Horizontal Details.pdf,roofing,MISSING
Metalcraft Roofing,Ceiling_Batten - Branz Appraisal.pdf,roofing,CERTIFIED
Metalcraft Roofing,Ceiling_Batten - Installation Guide.pdf,roofing,CERTIFIED
Metalcraft Roofing,Corrugate - BPIS Building Product Information Sheet.pdf,roofing,CERTIFIED
Metalcraft Roofing,Corrugate - Commercial Horizontal Wall Cladding Details.pdf,roofing,MISSING
Metalcraft Roofing,Corrugate - Commercial Roof Details.pdf,roofing,MISSING
Metalcraft Roofing,Corrugate - Commercial Vertical Wall Cladding.pdf,roofing,MISSING
Metalcraft Roofing,Corrugate - Corrugate Shed Details.pdf,roofing,MISSING
Metalcraft Roofing,Corrugate - Loadspan and Fixing Tables Steel.pdf,roofing,MISSING
Metalcraft Roofing,Corrugate - Product Flyer.pdf,roofing,MISSING
Metalcraft Roofing,Corrugate - Residential Horizontal Wall Cladding Details.pdf,roofing,MISSING
Metalcraft Roofing,Corrugate - Residential Roof Details.pdf,roofing,MISSING
Metalcraft Roofing,Corrugate - Residential Vertical Direct Fixed.pdf,roofing,MISSING
Metalcraft Roofing,Corrugate - Residential Vertical Wall Cladding Details.pdf,roofing,MISSING
Metalcraft Roofing,Espan_340 - BPIS Building Product Information Sheet.pdf,roofing,CERTIFIED
Metalcraft Roofing,Espan_340 - Commercial Roof Details.pdf,roofing,MISSING
Metalcraft Roofing,Espan_340 - Commercial Vertical Wall Cladding Details.pdf,roofing,MISSING
Metalcraft Roofing,Espan_340 - Espan Prickle Details.pdf,roofing,MISSING
Metalcraft Roofing,Espan_340 - Information Brochure.pdf,roofing,MISSING
Metalcraft Roofing,Espan_340 - Loadspan Table Aluminium.pdf,roofing,MISSING
