brand,product,doc_type,codemark_id,branz_number,expiry_date,is_expired,status,bpir_status,scope_limitations
B_Enclosure,Hardie - Linea - BRANZ Appraisal 447 Cavity Fixed,Unknown,,447,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Hardie - Linea - Cavity Fix Technical Specification,Unknown,number,447,,UNKNOWN,CONDITIONAL,UNDECLARED,"under 
the Consumer Guarantees Act."
B_Enclosure,Hardie - Linea - CodeMark Certificate 30018,Unknown,NZ30018,447,,UNKNOWN,CONDITIONAL,UNDECLARED,cavities created between the internal surface of the panels and the underlay or 
B_Enclosure,Hardie - Linea - Direct Fix Technical Specification,Unknown,number,446,,UNKNOWN,CONDITIONAL,UNDECLARED,"under 
the Consumer Guarantees Act."
B_Enclosure,Hardie - Linea - Installation Guide,Unknown,40225,,,UNKNOWN,CONDITIONAL,UNDECLARED,"to the fullest 
extent allowed by law."
B_Enclosure,Hardie - Oblique - 14mm Horizontal Installation Tech Spec,Unknown,number,1231,,UNKNOWN,CONDITIONAL,UNDECLARED,or modified at law.
B_Enclosure,Hardie - Oblique - 14mm Vertical 40mm Structural Cavity Batt,Unknown,,1232,,UNKNOWN,CONDITIONAL,UNDECLARED,or modified at law.
B_Enclosure,Hardie - Oblique - 14mm Vertical Installation Tech Spec,Unknown,number,1232,,UNKNOWN,CONDITIONAL,UNDECLARED,or modified at law.
B_Enclosure,Hardie - Oblique - BRANZ Appraisal 14mm Horizontal,Unknown,Certificat,1231,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Hardie - Oblique - BRANZ Appraisal 14mm Vertical,Unknown,Certificat,1232,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Hardie - Oblique Stria - Vertical Installation Guide,Unknown,40223,,,UNKNOWN,CONDITIONAL,UNDECLARED,a N3/C1 Wind Classification.
B_Enclosure,Hardie - RAB - BRANZ Appraisal 611 (Rigid Air Barriers),Unknown,,611,,UNKNOWN,CONDITIONAL,UNDECLARED,High
B_Enclosure,Hardie - RAB - Bracing Design Manual,Unknown,,2022,,UNKNOWN,CONDITIONAL,UNDECLARED,maximum of 4.
B_Enclosure,Hardie - RAB - Installation Manual (HomeRAB and RAB Board Co,Unknown,certificat,611,,UNKNOWN,CONDITIONAL,UNDECLARED,"under 
the Consumer Guarantees Act."
B_Enclosure,Hardie - Stria - BPIR Statement,Unknown,NZ30109,3182,,UNKNOWN,CONDITIONAL,DECLARED,cavities created between the internal surface of the panels and the underlay or 
B_Enclosure,Hardie - Stria - BRANZ Appraisal Horizontal Installation,Unknown,Certificat,1224,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Hardie - Stria - BRANZ Appraisal Vertical Installation,Unknown,Certificat,1225,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Hardie - Stria - CLD Structural Cavity Batten Technical Spec,Unknown,number,1224,,UNKNOWN,CONDITIONAL,UNDECLARED,or modified at law.
B_Enclosure,Hardie - Stria - CodeMark Certificate 30109,Unknown,NZ30109,3182,,UNKNOWN,CONDITIONAL,UNDECLARED,cavities created between the internal surface of the panels and the underlay or 
B_Enclosure,Hardie - Stria - Timber Cavity Batten Horizontal Technical S,Unknown,number,1224,,UNKNOWN,CONDITIONAL,UNDECLARED,or modified at law.
B_Enclosure,Hardie - Stria - Vertical 40mm Structural Cavity Batten Inst,Unknown,,1225,,UNKNOWN,CONDITIONAL,UNDECLARED,or modified at law.
B_Enclosure,Hardie - Stria - Vertical Installation Technical Specificati,Unknown,number,1225,,UNKNOWN,CONDITIONAL,UNDECLARED,or modified at law.
B_Enclosure,Hebel - PowerFloor - NZ Design and Installation Guide,Unknown,Product,1363,,UNKNOWN,CONDITIONAL,UNDECLARED,"for fixing to 
Hebel PowerFloor panels."
B_Enclosure,Hebel - PowerPanel XL 75mm - NZ Design and Installation Guid,Unknown,20243,1363,,UNKNOWN,CONDITIONAL,UNDECLARED,from this design guide.
